scenario_id,method,n,p,contamination_type,contamination_rate,contamination_strength,true_ate,n_mc,bias,mse,var,rmse,mae,coverage,n_valid,elapsed_sec,mcse_bias,mcse_mse,mcse_rmse
7,naive,200,20,none,0.0,3,2,2000,0.0062278022724333,0.0400958189164881,0.0400770719313092,0.200239404005526,0.15701020776523,0.951,2000,825.439730167389,0.004476442333556259,0.001268574205487774,0.003167643780673571
7,ipw_robust,200,20,none,0.0,3,2,2000,-0.019199904041215,0.0390246737949028,0.0386753751672945,0.197546637012384,0.155168674537276,0.95,2000,825.439730167389,0.004397463767178446,0.0012346250199601696,0.0031248950592937005
7,dr_robust,200,20,none,0.0,3,2,2000,-0.0005606938847173,0.0366395480990981,0.0366575625027171,0.19141459740338,0.151092768557202,0.949,2000,825.439730167389,0.004281212591236103,0.0011592238512366912,0.003028044535166213
7,aipw_robust,200,20,none,0.0,3,2,2000,-0.0048189882445568,0.0451554404080049,0.0451547951578827,0.21249809506912,0.170521932382152,0.9515,2000,825.439730167389,0.004751567907432383,0.0014286541756318384,0.003361569371168092
7,reg_adj,200,20,none,0.0,3,2,2000,0.0047309117243243,0.0303451240439121,0.0303379114739057,0.174198519063487,0.137627317334979,0.949,2000,825.439730167389,0.0038947343602552475,0.0009600765022079462,0.0027556965104222394
7,adaptive,200,20,none,0.0,3,2,2000,0.0048994422712063,0.0327039191089459,0.0326962627057299,0.180842249236582,0.142167753528505,0.9535,2000,825.439730167389,0.004043282249962888,0.0010347054228421197,0.0028607956028253506
8,naive,500,20,none,0.0,3,2,2000,0.0097648843290976,0.0123365714235985,0.0122473421287021,0.111070119400307,0.0883712372943318,0.952,2000,2023.6912560463,0.002474605234042604,0.0003902986420828217,0.0017569920883768444
8,ipw_robust,500,20,none,0.0,3,2,2000,-0.0147695383066615,0.0125942247487624,0.0123822766252831,0.112223993641121,0.0895648197581191,0.949,2000,2023.6912560463,0.002488199813648725,0.00039840042142261597,0.001775023363972651
8,dr_robust,500,20,none,0.0,3,2,2000,0.0044987332952031,0.0118360011605487,0.0118216733959853,0.108793387485402,0.0867325382162628,0.95,2000,2023.6912560463,0.0024312212359208795,0.00037447359072377,0.0017210310266973588
8,aipw_robust,500,20,none,0.0,3,2,2000,-0.0022157271610228,0.0161650881820277,0.0161682628666089,0.127142000070896,0.10028252851301,0.9465,2000,2023.6912560463,0.002843260704420973,0.0005114405914456075,0.0020112967829687346
8,reg_adj,500,20,none,0.0,3,2,2000,0.0088572434518821,0.0111246027659936,0.0110516778433493,0.10547323246205,0.0843106194697446,0.952,2000,2023.6912560463,0.0023507103015205106,0.0003519568272387417,0.0016684651594677266
8,adaptive,500,20,none,0.0,3,2,2000,0.0088572434518821,0.0111246027659936,0.0110516778433493,0.10547323246205,0.0843106194697446,0.952,2000,2023.6912560463,0.0023507103015205106,0.0003519568272387417,0.0016684651594677266
9,naive,1000,20,none,0.0,3,2,2000,0.0109741259256331,0.0059495263679085,0.0058320109335436,0.0771331729407557,0.0616010771583809,0.95,2000,3600.34447002411,0.0017076315371800206,0.00018819422540729906,0.0012199305320412979
9,ipw_robust,1000,20,none,0.0,3,2,2000,-0.0123384116408929,0.0061572298391609,0.0060079974360588,0.0784680179382718,0.0634215441514637,0.9545,2000,3600.34447002411,0.0017332047536368577,0.0001947442040608894,0.0012409145099987631
9,dr_robust,1000,20,none,0.0,3,2,2000,0.006675014496412,0.0057899996974768,0.0057483180379685,0.0760920475311108,0.0607685293697979,0.9515,2000,3600.34447002411,0.001695334485871225,0.00018318133719434415,0.0012036825341008802
9,aipw_robust,1000,20,none,0.0,3,2,2000,0.0019736929611506,0.0076877492620252,0.0076876976469438,0.0876798110286813,0.0701330810265169,0.955,2000,3600.34447002411,0.001960573595525529,0.0002432294994613443,0.0013870325255478737
9,reg_adj,1000,20,none,0.0,3,2,2000,0.0099132345542716,0.0055384115050137,0.0054428607160437,0.0744205046006392,0.0595061635885145,0.9485,2000,3600.34447002411,0.0016496758342237573,0.00017519844970309922,0.0011770845323023679
9,adaptive,1000,20,none,0.0,3,2,2000,0.0099132345542716,0.0055384115050137,0.0054428607160437,0.0744205046006392,0.0595061635885145,0.9485,2000,3600.34447002411,0.0016496758342237573,0.00017519844970309922,0.0011770845323023679
10,naive,200,5,covariate,0.0,3,2,2000,0.0080114834516473,0.0286053665834821,0.0285554604466093,0.169131211145318,0.135342805312097,0.9495,2000,180.866459846497,0.003778588390299299,0.0009050303426262623,0.0026755272917919856
