"scenario_id","method","n","p","contamination_type","contamination_rate","contamination_strength","true_ate","n_mc","bias","mse","var","rmse","mae","coverage","n_valid","elapsed_sec"
192,"naive",1000,5,"covariate",0.2,3,2,2000,-0.182481623925991,0.0401332630392339,0.00683713853783614,0.200332880574393,0.183555393647262,0.3995,2000,787.856691837311
192,"ipw_robust",1000,5,"covariate",0.2,3,2,2000,-0.178413730110889,0.0388780894754025,0.00705015546105182,0.197175276024664,0.179690049179853,0.4375,2000,787.856691837311
192,"dr_robust",1000,5,"covariate",0.2,3,2,2000,-0.184334780806642,0.0409023468993696,0.00692649873370381,0.202243286413591,0.185291076601257,0.401,2000,787.856691837311
192,"aipw_robust",1000,5,"covariate",0.2,3,2,2000,-0.173750106240435,0.0394983595569727,0.00931391709695859,0.198741942118348,0.176123973791796,0.564,2000,787.856691837311
192,"reg_adj",1000,5,"covariate",0.2,3,2,2000,-0.184300049089557,0.0404468110151709,0.00648354469310417,0.201113925463084,0.18511410843993,0.361,2000,787.856691837311
192,"adaptive",1000,5,"covariate",0.2,3,2,2000,-0.184300049089557,0.0404468110151709,0.00648354469310417,0.201113925463084,0.18511410843993,0.361,2000,787.856691837311
193,"naive",200,10,"covariate",0.2,3,2,2000,-0.149777846657879,0.0652215557160039,0.0428095571451053,0.255385112557494,0.205312819345299,0.8935,2000,267.552532911301
193,"ipw_robust",200,10,"covariate",0.2,3,2,2000,-0.146245727348605,0.0629768211593228,0.0416098132982494,0.25095183035659,0.2023192408457,0.896,2000,267.552532911301
193,"dr_robust",200,10,"covariate",0.2,3,2,2000,-0.154865982466086,0.0661111347538693,0.0421487365969817,0.257120856318326,0.206778564426834,0.8875,2000,267.552532911301
193,"aipw_robust",200,10,"covariate",0.2,3,2,2000,-0.137233320519207,0.0724888712766258,0.0536827283800885,0.269237574043122,0.215444829227658,0.9135,2000,267.552532911301
193,"reg_adj",200,10,"covariate",0.2,3,2,2000,-0.153611346026228,0.0593434594160765,0.0357648962362052,0.243605130110342,0.197866120222657,0.8705,2000,267.552532911301
193,"adaptive",200,10,"covariate",0.2,3,2,2000,-0.152917110676509,0.0601973953794718,0.0368321687261831,0.24535157504991,0.199255738977518,0.8745,2000,267.552532911301
194,"naive",500,10,"covariate",0.2,3,2,2000,-0.154407502546519,0.0395835752263646,0.0157497732703466,0.198956214344676,0.167341519582733,0.772,2000,664.537630081177
194,"ipw_robust",500,10,"covariate",0.2,3,2,2000,-0.149962202498365,0.0387365865058153,0.0162560523538315,0.196816123592086,0.165074923411061,0.792,2000,664.537630081177
194,"dr_robust",500,10,"covariate",0.2,3,2,2000,-0.157602725495713,0.0404411122156858,0.0156102982811494,0.201099756876247,0.169499219013893,0.76,2000,664.537630081177
194,"aipw_robust",500,10,"covariate",0.2,3,2,2000,-0.150272769823653,0.0436359834818454,0.0210646104365911,0.208892277219253,0.172996634034771,0.815,2000,664.537630081177
194,"reg_adj",500,10,"covariate",0.2,3,2,2000,-0.156086856632788,0.0384656975525302,0.0141096455618067,0.196126738494603,0.166280827266499,0.7495,2000,664.537630081177
194,"adaptive",500,10,"covariate",0.2,3,2,2000,-0.156271961780328,0.0385786869597024,0.0141648433427013,0.196414579295179,0.166465932414039,0.751,2000,664.537630081177
